episode_id,player1,player2,player1_reward,player2_reward,winner,outcome,episode_length,completed,side,player1_color,player2_color
0,IPPO_latest_,SPPPO_latest,0.0,0.0,draw,0,100,True,1,green,red
1,IPPO_latest_,SPPPO_latest,0.0,0.0,draw,0,100,True,1,green,red
2,IPPO_latest_,SPPPO_latest,0.0,0.0,draw,0,100,True,1,green,red
3,IPPO_latest_,SPPPO_latest,0.0,0.0,draw,0,100,True,1,green,red
4,IPPO_latest_,SPPPO_latest,0.0,0.0,draw,0,100,True,1,green,red
5,IPPO_latest_,SPPPO_latest,0.0,0.0,draw,0,100,True,2,red,green
6,IPPO_latest_,SPPPO_latest,0.0,0.0,draw,0,100,True,2,red,green
7,IPPO_latest_,SPPPO_latest,0.0,0.0,draw,0,100,True,2,red,green
8,IPPO_latest_,SPPPO_latest,0.0,0.0,draw,0,100,True,2,red,green
9,IPPO_latest_,SPPPO_latest,0.0,0.0,draw,0,100,True,2,red,green
0,IPPO_latest_,FSPPPO_latest,0.0,0.0,draw,0,100,True,1,green,red
1,IPPO_latest_,FSPPPO_latest,0.0,0.0,draw,0,100,True,1,green,red
2,IPPO_latest_,FSPPPO_latest,0.0,0.0,draw,0,100,True,1,green,red
3,IPPO_latest_,FSPPPO_latest,0.0,0.0,draw,0,100,True,1,green,red
4,IPPO_latest_,FSPPPO_latest,0.0,0.0,draw,0,100,True,1,green,red
5,IPPO_latest_,FSPPPO_latest,0.0,0.0,draw,0,100,True,2,red,green
6,IPPO_latest_,FSPPPO_latest,0.0,0.0,draw,0,100,True,2,red,green
7,IPPO_latest_,FSPPPO_latest,0.0,0.0,draw,0,100,True,2,red,green
8,IPPO_latest_,FSPPPO_latest,-1.0,1.0,IPPO_latest_,-1,41,True,2,red,green
9,IPPO_latest_,FSPPPO_latest,0.0,0.0,draw,0,100,True,2,red,green
0,IPPO_latest_,scripted_noop,0.0,0.0,draw,0,100,True,1,green,red
1,IPPO_latest_,scripted_noop,0.0,0.0,draw,0,100,True,1,green,red
2,IPPO_latest_,scripted_noop,0.0,0.0,draw,0,100,True,1,green,red
3,IPPO_latest_,scripted_noop,0.0,0.0,draw,0,100,True,1,green,red
4,IPPO_latest_,scripted_noop,0.0,0.0,draw,0,100,True,1,green,red
5,IPPO_latest_,scripted_noop,0.0,0.0,draw,0,100,True,2,red,green
6,IPPO_latest_,scripted_noop,0.0,0.0,draw,0,100,True,2,red,green
7,IPPO_latest_,scripted_noop,0.0,0.0,draw,0,100,True,2,red,green
8,IPPO_latest_,scripted_noop,0.0,0.0,draw,0,100,True,2,red,green
9,IPPO_latest_,scripted_noop,0.0,0.0,draw,0,100,True,2,red,green
0,IPPO_latest_,scripted_random,1.0,-1.0,IPPO_latest_,1,43,True,1,green,red
1,IPPO_latest_,scripted_random,1.0,-1.0,IPPO_latest_,1,25,True,1,green,red
2,IPPO_latest_,scripted_random,1.0,-1.0,IPPO_latest_,1,16,True,1,green,red
3,IPPO_latest_,scripted_random,1.0,-1.0,IPPO_latest_,1,27,True,1,green,red
4,IPPO_latest_,scripted_random,1.0,-1.0,IPPO_latest_,1,18,True,1,green,red
5,IPPO_latest_,scripted_random,1.0,-1.0,scripted_random,1,13,True,2,red,green
6,IPPO_latest_,scripted_random,1.0,-1.0,scripted_random,1,44,True,2,red,green
7,IPPO_latest_,scripted_random,1.0,-1.0,scripted_random,1,11,True,2,red,green
8,IPPO_latest_,scripted_random,1.0,-1.0,scripted_random,1,15,True,2,red,green
9,IPPO_latest_,scripted_random,1.0,-1.0,scripted_random,1,22,True,2,red,green
