episode_id,player1,player2,player1_reward,player2_reward,winner,outcome,episode_length,completed,side,player1_color,player2_color
0,IPPO_latest_,scripted_seek,0.0,0.0,draw,0,100,True,1,green,red
1,IPPO_latest_,scripted_seek,0.0,0.0,draw,0,100,True,1,green,red
2,IPPO_latest_,scripted_seek,-1.0,1.0,scripted_seek,-1,34,True,1,green,red
3,IPPO_latest_,scripted_seek,0.0,0.0,draw,0,100,True,1,green,red
4,IPPO_latest_,scripted_seek,0.0,0.0,draw,0,100,True,1,green,red
5,IPPO_latest_,scripted_seek,0.0,0.0,draw,0,100,True,2,red,green
6,IPPO_latest_,scripted_seek,0.0,0.0,draw,0,100,True,2,red,green
7,IPPO_latest_,scripted_seek,0.0,0.0,draw,0,100,True,2,red,green
8,IPPO_latest_,scripted_seek,0.0,0.0,draw,0,100,True,2,red,green
9,IPPO_latest_,scripted_seek,0.0,0.0,draw,0,100,True,2,red,green
0,IPPO_latest_,scripted_centaur,0.0,0.0,draw,0,100,True,1,green,red
1,IPPO_latest_,scripted_centaur,1.0,-1.0,IPPO_latest_,1,30,True,1,green,red
2,IPPO_latest_,scripted_centaur,0.0,0.0,draw,0,100,True,1,green,red
3,IPPO_latest_,scripted_centaur,1.0,-1.0,IPPO_latest_,1,84,True,1,green,red
4,IPPO_latest_,scripted_centaur,0.0,0.0,draw,0,100,True,1,green,red
5,IPPO_latest_,scripted_centaur,0.0,0.0,draw,0,100,True,2,red,green
6,IPPO_latest_,scripted_centaur,1.0,-1.0,scripted_centaur,1,41,True,2,red,green
7,IPPO_latest_,scripted_centaur,1.0,-1.0,scripted_centaur,1,64,True,2,red,green
8,IPPO_latest_,scripted_centaur,0.0,0.0,draw,0,100,True,2,red,green
9,IPPO_latest_,scripted_centaur,1.0,-1.0,scripted_centaur,1,12,True,2,red,green
0,IPPO_latest_,scripted_dodge,1.0,-1.0,IPPO_latest_,1,60,True,1,green,red
1,IPPO_latest_,scripted_dodge,1.0,-1.0,IPPO_latest_,1,41,True,1,green,red
2,IPPO_latest_,scripted_dodge,1.0,-1.0,IPPO_latest_,1,33,True,1,green,red
3,IPPO_latest_,scripted_dodge,1.0,-1.0,IPPO_latest_,1,75,True,1,green,red
4,IPPO_latest_,scripted_dodge,1.0,-1.0,IPPO_latest_,1,74,True,1,green,red
5,IPPO_latest_,scripted_dodge,1.0,-1.0,scripted_dodge,1,48,True,2,red,green
6,IPPO_latest_,scripted_dodge,1.0,-1.0,scripted_dodge,1,20,True,2,red,green
7,IPPO_latest_,scripted_dodge,0.0,0.0,draw,0,100,True,2,red,green
8,IPPO_latest_,scripted_dodge,1.0,-1.0,scripted_dodge,1,60,True,2,red,green
9,IPPO_latest_,scripted_dodge,1.0,-1.0,scripted_dodge,1,46,True,2,red,green
0,SPPPO_latest,FSPPPO_latest,-1.0,1.0,FSPPPO_latest,-1,50,True,1,green,red
1,SPPPO_latest,FSPPPO_latest,0.0,0.0,draw,0,100,True,1,green,red
2,SPPPO_latest,FSPPPO_latest,0.0,0.0,draw,0,100,True,1,green,red
3,SPPPO_latest,FSPPPO_latest,0.0,0.0,draw,0,100,True,1,green,red
4,SPPPO_latest,FSPPPO_latest,-1.0,1.0,FSPPPO_latest,-1,41,True,1,green,red
5,SPPPO_latest,FSPPPO_latest,0.0,0.0,draw,0,100,True,2,red,green
6,SPPPO_latest,FSPPPO_latest,0.0,0.0,draw,0,100,True,2,red,green
7,SPPPO_latest,FSPPPO_latest,0.0,0.0,draw,0,100,True,2,red,green
8,SPPPO_latest,FSPPPO_latest,0.0,0.0,draw,0,100,True,2,red,green
9,SPPPO_latest,FSPPPO_latest,0.0,0.0,draw,0,100,True,2,red,green
0,SPPPO_latest,scripted_noop,0.0,0.0,draw,0,100,True,1,green,red
1,SPPPO_latest,scripted_noop,0.0,0.0,draw,0,100,True,1,green,red
2,SPPPO_latest,scripted_noop,0.0,0.0,draw,0,100,True,1,green,red
3,SPPPO_latest,scripted_noop,0.0,0.0,draw,0,100,True,1,green,red
4,SPPPO_latest,scripted_noop,0.0,0.0,draw,0,100,True,1,green,red
5,SPPPO_latest,scripted_noop,0.0,0.0,draw,0,100,True,2,red,green
6,SPPPO_latest,scripted_noop,0.0,0.0,draw,0,100,True,2,red,green
7,SPPPO_latest,scripted_noop,0.0,0.0,draw,0,100,True,2,red,green
8,SPPPO_latest,scripted_noop,0.0,0.0,draw,0,100,True,2,red,green
9,SPPPO_latest,scripted_noop,0.0,0.0,draw,0,100,True,2,red,green
0,SPPPO_latest,scripted_random,1.0,-1.0,SPPPO_latest,1,16,True,1,green,red
1,SPPPO_latest,scripted_random,1.0,-1.0,SPPPO_latest,1,33,True,1,green,red
2,SPPPO_latest,scripted_random,1.0,-1.0,SPPPO_latest,1,59,True,1,green,red
3,SPPPO_latest,scripted_random,1.0,-1.0,SPPPO_latest,1,54,True,1,green,red
4,SPPPO_latest,scripted_random,1.0,-1.0,SPPPO_latest,1,25,True,1,green,red
5,SPPPO_latest,scripted_random,1.0,-1.0,scripted_random,1,19,True,2,red,green
6,SPPPO_latest,scripted_random,1.0,-1.0,scripted_random,1,23,True,2,red,green
7,SPPPO_latest,scripted_random,1.0,-1.0,scripted_random,1,43,True,2,red,green
8,SPPPO_latest,scripted_random,1.0,-1.0,scripted_random,1,15,True,2,red,green
9,SPPPO_latest,scripted_random,1.0,-1.0,scripted_random,1,10,True,2,red,green
